location_cell,hotel_avg,airbnb_avg
0.0,682.01,202.9714889123548
1.0,215.1220714285715,82.09836065573771
2.0,183.37463414634155,71.66666666666667
3.0,417.83530821917856,205.85106382978722
4.0,264.0901851851852,107.875
5.0,183.8071666666667,67.61538461538461
6.0,204.53881516587666,160.16183574879227
7.0,459.66204188481754,213.48275862068965
8.0,145.1743589743589,84.53631284916202
9.0,204.59385714285716,79.53333333333333
10.0,412.48865942029033,208.55445544554456
11.0,187.15570469798658,99.28260869565217
12.0,281.1027659574468,132.56049562682216
13.0,134.46316666666675,112.53333333333333
14.0,191.22822580645152,155.71052631578948
15.0,344.6941368078179,236.40151515151516
16.0,204.8539823008851,137.86666666666667
17.0,401.6008387096775,218.4141689373297
18.0,456.98029411764713,174.91610738255034
20.0,265.2811409395972,72.87096774193549
21.0,161.97978723404253,102.55473684210526
22.0,300.02900000000005,74.125
23.0,723.6985253456223,283.07971014492756
24.0,260.7670198675496,98.75
25.0,165.51926315789484,118.19444444444444
26.0,210.54428571428573,82.77777777777777
27.0,877.2376363636364,412.90972222222223
28.0,378.58000000000004,169.71194762684124
29.0,184.2229,175.53305785123968
30.0,212.95146666666656,87.03333333333333
31.0,141.6384375,84.96774193548387
32.0,228.95891304347853,89.61904761904762
34.0,640.8066949152543,231.81012658227849
35.0,183.3950000000001,85.87912087912088
36.0,155.6021686746989,123.83333333333333
37.0,656.1365599999998,174.65
38.0,208.1170731707316,194.71395348837208
39.0,203.7901886792453,110.91803278688525
40.0,206.0818367346939,129.15
41.0,194.28647058823532,90.2065906210393
42.0,166.12450980392146,83.0
43.0,235.1640909090909,145.2924791086351
44.0,159.32,75.0
45.0,454.937434944238,266.2
46.0,167.44282051282062,123.71851851851852
47.0,183.04428571428568,99.171974522293
48.0,255.93433333333326,57.25
49.0,223.84652777777785,97.74626865671642
50.0,160.42802631578942,68.96428571428571
51.0,2928.535451895044,316.9032258064516
52.0,373.6960366552118,214.46381578947367
53.0,327.21775862068955,177.8235294117647
54.0,146.19509803921568,90.21052631578948
55.0,398.52657425742586,253.63013698630138
56.0,379.0915909090909,264.613074204947
57.0,217.08772727272728,107.79581151832461
58.0,331.5633526011563,166.74045801526717
59.0,235.3888157894737,80.26086956521739
60.0,230.86320895522397,110.41176470588235
61.0,412.39296803652985,238.26136363636363
62.0,319.315125,176.01818181818183
63.0,1207.7704580152663,208.21480144404333
64.0,258.9455555555556,139.76668339187154
65.0,268.69469798657724,163.66176470588235
66.0,521.5588435374151,181.21985815602838
67.0,155.36441176470586,137.4978540772532
68.0,894.6093434343431,215.36
69.0,256.89439999999996,458.45454545454544
70.0,527.1610763209392,328.75581395348837
71.0,747.3125581395346,256.0222929936306
72.0,677.3973333333334,190.32881355932204
73.0,678.437556390978,309.3095238095238
74.0,293.1575,197.41558441558442
75.0,227.1583870967742,135.30208333333334
76.0,366.1599999999999,118.29310344827586
77.0,392.0501449275361,237.36111111111111
78.0,347.0794563426691,206.8846153846154
79.0,517.2023392612858,248.524064171123
80.0,466.03999999999996,139.19527559055118
81.0,286.9894736842105,120.18319327731092
82.0,272.1534782608696,163.74273858921163
83.0,402.2992592592593,253.42105263157896
84.0,269.93444444444447,218.72432432432433
85.0,212.5820666666666,109.26548672566372
86.0,2307.7261607142877,275.37226277372264
88.0,446.3058974358974,357.125
89.0,266.278,152.38441890166027
90.0,460.93175141242926,317.5
91.0,199.96640000000002,120.42857142857143
92.0,654.8100522193205,241.50632911392404
93.0,179.40800000000002,101.9
94.0,468.821497005988,246.64880952380952
95.0,291.5320454545457,180.32539682539684
96.0,181.8337777777779,110.23809523809524
97.0,964.4110991379308,366.2647058823529
98.0,670.4990000000001,215.79577464788733
99.0,230.47846153846152,203.16229116945107
100.0,215.28396825396828,101.38888888888889
101.0,250.11399999999995,140.87567567567567
102.0,393.6924277456649,214.54430379746836
103.0,519.1075235109711,263.3142857142857
104.0,365.41741496598655,364.5833333333333
105.0,673.0782790697674,263.6029411764706
106.0,279.4977777777778,204.8201754385965
107.0,194.82714285714286,247.93617021276594
108.0,241.32870967741925,216.10188679245283
109.0,1494.7232183908043,201.95555555555555
110.0,353.29840517241354,209.01190476190476
111.0,426.96129629629627,265.62396694214874
112.0,2033.8464935064935,189.36829268292684
113.0,695.0025806451613,140.55133079847909
114.0,198.87543859649105,112.01101928374656
115.0,2235.054102564103,236.5655737704918
116.0,306.39958620689663,174.09375
117.0,375.2903703703702,160.4758064516129
118.0,209.66750000000002,253.9126984126984
119.0,585.2913131313129,192.45205479452054
120.0,306.6075,289.1290322580645
121.0,300.7018749999999,166.8608695652174
122.0,1814.102115384615,389.7027027027027
123.0,155.74178571428573,109.21428571428571
124.0,231.29045454545465,224.5
125.0,2465.3405487804885,337.35135135135135
126.0,742.7094871794875,217.49253731343285
127.0,377.6151851851851,206.87171052631578
128.0,257.25243243243244,198.98173515981736
129.0,580.2369841269841,238.4811320754717
